sample,location,region,region2,Contig51781-2182,Contig7437-297,Contig19921-198,Contig43068-228,Contig18508-1189,Contig48434-398,Contig47323-480,Contig52170-261,Contig44754-173,Contig76320-480,Contig73761-413,Contig12238-2416,Contig75365-1536,Contig36727-1876,Contig11732-584,Contig70391-1125,Contig7209-1592,Contig75240-3293,Contig26899-4679,Contig54830-1845,Contig55280-1132,Contig28180-782,Contig75701-1296,Contig84643-228,Contig94283-521,Contig9951-1310,Contig35075-585,Contig40476-2086,Contig21109-2670,Contig87964-826,Contig17601-354,Contig43011-2013,Contig30235-2735,Contig59027-934,Contig11632-2800,Contig43353-1147,Contig28811-1509,Contig38445-1320,Contig27316-1247,Contig71144-917,Contig94535-593,Contig95759-384,Contig82221-1244,Contig41680-787,Contig17251-1035,Contig11157-581,Contig36597-373,Contig89303-853,Contig48247-1242,Contig29192-3957,Contig53440-770,Contig49627-293,Contig14467-285
Andros9-14536X73,1Andro,Bahamas,North,1,1,NA,1,0,0,0,0,0,1,0,0,1,0,NA,1,0,2,0,1,0,0,NA,0,NA,NA,0,0,0,0,1,NA,0,0,0,0,NA,0,NA,2,0,1,1,0,0,1,NA,NA,0,2,0,0,0
Aruba18-14535X5,Aruba,Aruba,South,2,1,1,2,0,0,2,0,0,2,0,0,0,0,1,1,0,2,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0,0
Aruba25-14535X7,Aruba,Aruba,South,2,1,NA,1,0,0,0,0,0,0,0,0,0,NA,0,1,0,2,1,1,0,2,0,0,0,0,0,NA,0,1,0,1,NA,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,NA,1,0,0,0
Aruba1NA-14535X73,Aruba,Aruba,South,2,2,1,2,0,0,1,0,1,0,0,1,0,1,2,1,0,2,1,1,0,0,0,0,2,NA,0,0,0,0,2,0,0,0,0,0,1,0,0,NA,0,0,1,0,1,0,0,0,1,1,1,0,0
Aruba12-14535X79,Aruba,Aruba,South,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,1,NA,2,1,0,NA,NA,0,1,1,0,1,NA,NA,0,1,0,1,0,NA,NA,0,NA,1,0,NA,1,NA,NA,NA,2,0,NA,1
Aruba2NA-14535X78,Aruba,Aruba,South,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0
Aruba21-14535X74,Aruba,Aruba,South,2,2,0,1,0,0,0,0,0,1,1,0,1,0,0,NA,0,2,0,1,0,0,0,NA,0,2,1,0,1,0,0,1,1,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,1,0,1,1,0,0
Aruba24-14535X77,Aruba,Aruba,South,2,2,0,1,0,1,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,2,0,1,0,0,1,1,0,0,0
Aruba31-14535X75,Aruba,Aruba,South,2,2,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,NA,0,0,1,0,1,1,0,0,2,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0,0
Bahamas32-14535X66,2Baham,Bahamas,North,0,0,2,0,0,1,1,0,0,1,0,1,2,0,0,2,0,2,0,1,1,1,0,0,1,1,0,1,0,0,0,1,NA,0,1,0,0,0,0,1,0,0,1,1,1,2,0,NA,0,1,1,1,0
Bahamas38-14535X68,2Baham,Bahamas,North,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,2,1,1,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,2,1,0,0
Bahamas39-14535X71,2Baham,Bahamas,North,0,0,2,0,0,0,0,0,0,1,0,1,2,0,1,0,0,2,0,0,0,1,2,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0
Bahamas44-14535X67,2Baham,Bahamas,North,0,NA,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,1,2,0,NA,0,NA,1,1,0,0,0,0,NA,NA,0,0,0,0,0,NA,2,1,1,2,0,0,0,1,0,1,1,1,0,0
BahamasCa-14535X69,2Baham,Bahamas,North,1,1,1,1,2,0,0,1,0,1,0,0,0,NA,0,2,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,NA,0,0,0,2,0,0,1,0,0,0,1,0,1,1,0,0,0
BahamasCb-14535X7NA,2Baham,Bahamas,North,2,1,0,1,0,0,0,0,1,2,0,2,0,2,2,2,0,2,0,1,1,0,1,NA,0,1,0,1,0,0,NA,2,0,NA,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,2,0,0,0
BahamasCc-14535X72,2Baham,Bahamas,North,1,1,1,1,1,NA,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,NA,0,1,0,0,1,0,0,1,0,NA,0,0,0,NA,0,NA,2,0,1,2,0,NA,1,0,0,0,2,0,0,0
Belize3NA-14535X59,Beliz,Beliz,Central,2,2,0,1,0,NA,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,NA,1,1,0,NA,0,0,0,0,NA,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,1,0,0,0
Belize42-14535X63,Beliz,Beliz,Central,0,0,2,0,1,0,0,0,0,1,0,1,2,0,1,1,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,2,1,0,1,0,0,0,NA,1,0,0,0,0,0,1,1,NA,0,NA,0,0,0
Belize9-14535X58,Beliz,Beliz,Central,1,1,1,0,NA,0,2,0,0,1,0,2,1,0,0,1,1,NA,0,1,1,1,0,0,1,0,0,0,0,1,1,2,1,0,1,0,0,0,0,1,0,1,NA,0,0,0,NA,NA,0,1,2,1,NA
BelizeCa-14535X61,Beliz,Beliz,Central,1,0,1,1,0,0,1,1,0,1,0,2,2,0,2,NA,0,2,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,2,0,0,1,0,0,2,0,1,0,2,0,0,0
BelizeCb-14535X62,Beliz,Beliz,Central,2,2,0,2,0,0,1,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0
Bimini1NA-14536X58,3Bimin,Bahamas,North,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,NA,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Bimini12-14536X6NA,3Bimin,Bahamas,North,0,0,2,0,0,0,1,1,0,1,0,1,1,0,2,0,0,2,0,0,1,0,1,0,1,1,0,1,0,0,0,1,NA,0,1,0,1,0,0,2,1,1,0,0,0,2,0,0,0,1,0,0,0
Bimini13-14536X61,3Bimin,Bahamas,North,0,0,1,0,1,1,1,0,0,1,1,1,2,1,1,2,0,2,0,1,2,1,0,NA,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0
Bimini15-14536X63,3Bimin,Bahamas,North,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,NA,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,NA,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Bimini2-14536X5NA,3Bimin,Bahamas,North,1,1,0,1,0,0,0,0,2,1,0,1,2,0,0,2,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Bimini3-14536X51,3Bimin,Bahamas,North,0,0,1,0,0,0,0,0,2,1,0,1,1,0,NA,2,0,2,0,1,0,1,2,1,2,1,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,NA,0,0,0
Bimini4-14536X52,3Bimin,Bahamas,North,1,1,1,1,NA,0,0,1,0,2,0,2,0,0,NA,2,0,1,0,1,1,0,2,NA,NA,2,NA,NA,0,0,1,2,NA,0,0,0,1,0,NA,NA,0,1,1,0,NA,NA,NA,0,1,1,1,0,NA
Bimini5-14536X53,3Bimin,Bahamas,North,0,0,1,0,1,NA,0,0,0,NA,0,1,1,0,1,NA,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,NA,1,0,2,0,1,1,0,0,1,1,0,NA,1,NA,NA,1
Bimini6-14536X54,3Bimin,Bahamas,North,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,NA,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,1,0
Bimini7-14536X55,3Bimin,Bahamas,North,1,1,1,0,0,0,0,1,0,2,0,1,1,0,1,2,0,1,0,0,1,0,1,0,2,1,0,2,0,0,2,2,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,NA,0,2,0,0,0
Bimini8-14536X56,3Bimin,Bahamas,North,1,1,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,NA,1,1,1,1,1,0,NA,1,0,0,1,0,0,1,1,0,0,0,NA,0,1,2,0,0,1,0,NA,0,NA,NA,0,1,0,0,NA
Belize11-14535X26,Beliz,Beliz,Central,2,2,0,2,0,0,0,1,1,1,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,1,0,0,2,0,0,1
Belize32-14535X27,Beliz,Beliz,Central,2,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,NA,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Belize33-14535X28,Beliz,Beliz,Central,2,1,NA,1,0,1,1,1,0,2,0,0,1,0,2,2,0,2,1,1,1,2,0,NA,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Belize34-14535X29,Beliz,Beliz,Central,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,1,1,0,0,NA,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Belize35-14535X3NA,Beliz,Beliz,Central,2,2,1,2,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,2,NA,0,1,0,0,0,0,1,NA,0,0,0,0,1,1,0,2,1,0,0,1,2,0,0,NA,1,0,1
Belize36-14535X31,Beliz,Beliz,Central,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,2,0,1,0,0,2,1,2,NA,1,1,0,NA,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,NA,1,0,0
Belize42-14535X32,Beliz,Beliz,Central,0,0,NA,0,1,NA,NA,0,NA,1,0,1,2,NA,1,NA,0,1,0,2,NA,0,0,0,1,1,0,NA,0,0,0,2,NA,0,1,0,0,0,NA,1,0,NA,0,0,NA,1,1,0,0,1,0,0,0
Belize8-14535X25,Beliz,Beliz,Central,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,NA,0,1,0,0,1,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0
ConchFritter1-14536X1,Conch,Market,Market,2,NA,0,2,1,NA,NA,0,NA,1,0,1,NA,NA,1,NA,0,NA,1,0,0,0,NA,NA,NA,1,0,1,0,0,0,2,NA,1,0,0,0,0,0,1,0,0,2,NA,0,0,NA,0,1,1,0,0,0
ConchFritter1NA-14536X1NA,Conch,Market,Market,2,1,0,2,NA,0,0,0,0,2,0,0,1,0,1,NA,1,NA,0,0,1,0,1,0,0,1,0,1,1,0,0,2,NA,0,0,0,0,1,0,2,0,0,1,0,0,NA,NA,NA,0,1,0,0,NA
ConchFritter11-14536X11,Conch,Market,Market,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,2,0,1,0,0,0,2,2,0,1,1,0,1,0,0,NA,1,1,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,2,0,0,0
ConchFritter14-14536X14,Conch,Market,Market,1,1,NA,1,0,NA,NA,0,1,1,0,NA,1,NA,1,1,0,NA,1,1,2,1,0,0,NA,1,0,2,0,1,1,1,NA,0,0,0,0,0,NA,1,0,0,2,NA,0,0,0,NA,0,1,0,0,NA
ConchFritter18-14536X18,Conch,Market,Market,2,1,0,1,0,0,0,0,0,0,0,1,1,NA,0,2,0,NA,0,2,0,0,NA,NA,NA,0,NA,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,1,1,0,1,0,NA,0,2,0,0,0
ConchFritter2-14536X2,Conch,Market,Market,1,1,1,0,0,1,1,0,1,1,0,2,0,0,2,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,2,0,0,2,0,0,1,0,0,0,1,1,0,1
ConchFritter26-14536X26,Conch,Market,Market,2,2,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,1,2,1,1,0,0,1,0,1,1,0,2,0,0,2,0,0,0,1,NA,0,2,0,0,1
ConchFritter27-14536X27,Conch,Market,Market,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,1,0,1,1,2,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,NA,0,0,0
ConchFritter3-14536X3,Conch,Market,Market,2,2,0,2,1,0,1,1,1,2,1,0,0,0,0,NA,0,NA,0,1,0,0,1,0,NA,1,0,0,0,0,0,1,NA,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0
ConchFritter3NA-14536X3NA,Conch,Market,Market,1,1,1,1,NA,NA,0,0,NA,1,0,0,0,0,2,2,0,0,0,2,0,0,NA,NA,NA,1,0,NA,0,2,1,NA,0,NA,1,0,1,0,0,2,0,0,0,0,0,2,0,NA,0,1,0,0,0
ConchFritter31-14536X31,Conch,Market,Market,0,0,1,0,NA,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0,0,NA,2,NA,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,1,0,1
ConchFritter39-14536X39,Conch,Market,Market,1,1,NA,1,NA,0,0,0,0,NA,0,1,2,0,NA,1,0,NA,1,1,1,0,0,0,NA,2,0,0,0,0,0,1,NA,0,0,0,NA,0,NA,NA,0,1,NA,0,NA,2,NA,NA,0,1,0,NA,NA
DuckKey26-14537X74,8Duck,Florida,North,2,2,0,NA,1,0,0,1,0,0,0,0,1,0,0,1,0,2,0,1,0,1,1,0,0,NA,0,1,0,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
DuckKey27-14537X75,8Duck,Florida,North,2,2,0,1,0,0,1,0,0,1,0,2,0,1,2,2,0,2,0,0,0,1,2,1,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0
DuckKey28-14537X76,8Duck,Florida,North,2,2,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,NA,1,0,0,0,0
DuckKey29-14537X77,8Duck,Florida,North,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,NA,1,0,0,0,0,0,1,0,0,NA,1,0,0,0,0,1,1,0,1,0,0,2,1,0,0,1,0,0,0
DuckKey3NA-14537X78,8Duck,Florida,North,0,0,0,0,0,1,0,0,0,0,0,NA,1,0,NA,2,0,NA,1,0,0,0,0,0,0,2,0,NA,0,0,1,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0
DuckKey31-14537X79,8Duck,Florida,North,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,1,NA,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0
DuckKey33-14537X81,8Duck,Florida,North,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0
DuckKey34-14537X82,8Duck,Florida,North,1,1,1,0,0,0,0,0,1,0,0,1,0,1,NA,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,2,1,0,0,0,1,0,1,1,0,0,0
DuckKey35-14537X83,8Duck,Florida,North,2,2,0,2,0,0,0,0,0,1,0,0,2,1,1,2,0,2,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,NA,0,0,0,1,0,0,1,0,0,2,0,0,0
DuckKey36-14537X84,8Duck,Florida,North,1,0,0,1,0,0,0,0,0,1,0,1,2,0,1,1,1,2,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0
DuckKey37-14537X85,8Duck,Florida,North,1,1,1,0,2,0,0,1,0,0,1,1,1,1,2,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0,2,1,1,1,1,0,1,1,0,0,2,0,0,1
DuckKey38-14537X86,8Duck,Florida,North,1,1,2,0,0,1,0,0,0,1,0,2,1,0,1,1,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0
DuckKey39-14537X87,8Duck,Florida,North,1,1,1,1,0,0,0,0,0,1,0,1,2,0,2,1,0,2,0,0,1,0,0,NA,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2,0,0,2,0,1,1,0,NA,0,1,1,0,0
DuckKey41-14537X89,8Duck,Florida,North,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
DuckKey42-14537X9NA,8Duck,Florida,North,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,NA,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,1,0,0,1,0,0,0,0,1,1,0
DuckKey43-14537X91,8Duck,Florida,North,2,2,NA,2,0,0,0,0,0,0,0,1,0,2,1,1,1,2,1,0,0,0,NA,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,NA,1,0,0
DuckKey44-14537X92,8Duck,Florida,North,1,0,1,0,0,0,NA,1,1,0,1,2,NA,1,1,1,0,NA,0,0,0,1,0,1,NA,0,0,1,1,0,0,1,NA,0,0,0,0,0,NA,1,0,0,1,0,1,1,0,0,0,1,1,NA,0
DuckKey45-14537X93,8Duck,Florida,North,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,0,NA,1,1,0,0,0,0,1,1,1,0,0,NA,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0
DuckKey46-14537X94,8Duck,Florida,North,1,0,1,1,1,0,0,0,1,0,0,1,2,0,0,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,2,1,0,0
DuckKey47-14537X95,8Duck,Florida,North,2,2,NA,2,0,0,1,0,0,0,1,2,1,1,0,1,0,2,0,1,0,1,NA,0,1,1,1,0,0,0,1,1,NA,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,2,0,0
Exuma35-14535X9,4Exuma,Bahamas,North,1,1,1,2,NA,0,NA,0,NA,0,0,1,1,NA,NA,1,0,NA,0,1,0,0,NA,1,NA,1,0,NA,1,0,1,NA,1,0,1,0,NA,0,0,2,0,NA,0,NA,0,NA,0,NA,NA,1,0,0,0
Exuma36-14535X1NA,4Exuma,Bahamas,North,1,0,1,0,1,2,0,0,0,0,0,1,1,0,2,1,1,2,0,2,1,0,NA,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,2,0,0,1,1,0,2,1,0,1,1,0,0,0
Exuma37-14535X11,4Exuma,Bahamas,North,0,0,2,1,0,0,1,0,0,0,0,2,1,0,1,1,2,1,0,0,1,1,1,1,1,1,1,2,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Exuma39-14535X13,4Exuma,Bahamas,North,1,1,1,1,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,1,1,0,0,NA,0,NA,NA,0,NA,0,0,0,NA,NA,0,1,0,0,0,NA,NA,0,0,1,0,NA,NA,0,NA,0,2,0,NA,NA
Exuma4NA-14535X14,4Exuma,Bahamas,North,1,1,1,1,2,0,0,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0
Exuma41-14535X15,4Exuma,Bahamas,North,2,1,0,1,0,0,0,0,1,2,0,2,0,2,2,2,0,2,0,1,1,0,1,0,0,1,0,1,0,0,2,2,0,NA,0,0,NA,0,0,2,0,0,1,1,0,1,0,0,0,2,0,0,0
Fkeys12-14535X41,7Flori,Florida,North,0,0,2,0,0,1,0,0,1,0,0,1,1,2,1,2,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
Fkeys13-14535X42,7Flori,Florida,North,0,0,1,0,1,0,1,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,1,0,1,NA,1,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,1,0,1
Fkeys18-14535X47,7Flori,Florida,North,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,1,0,0
Fkeys19-14535X48,7Flori,Florida,North,2,2,0,2,0,1,0,0,1,1,1,0,1,NA,0,NA,0,NA,0,0,0,0,NA,1,NA,1,0,NA,0,0,1,0,NA,0,0,0,0,0,NA,2,0,0,NA,NA,1,2,0,NA,0,0,0,0,0
Florida13-14535X51,7Flori,Florida,North,0,0,1,0,1,0,1,0,0,0,0,1,2,NA,2,NA,0,NA,0,2,1,1,NA,NA,1,0,1,0,1,0,0,NA,0,NA,0,0,NA,0,0,1,0,0,0,0,1,0,0,NA,0,1,1,0,1
Florida16-14535X49,7Flori,Florida,North,2,2,1,2,NA,1,0,0,0,0,0,1,2,1,2,NA,NA,NA,0,0,0,0,NA,NA,2,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,1,NA,NA,1,0,0,1,0,0,0
Florida63-14535X5NA,7Flori,Florida,North,2,2,0,1,0,0,0,0,0,1,0,0,1,NA,NA,1,0,2,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,0,1,1,0,0
Florida2-14535X53,7Flori,Florida,North,1,0,1,1,1,0,0,0,0,1,1,NA,1,0,1,1,0,2,0,1,0,1,1,0,1,2,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0
Florida55-14535X52,7Flori,Florida,North,2,2,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,2,0,1,0,0,2,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
FloridaCa-14535X54,7Flori,Florida,North,2,1,0,1,0,0,0,0,0,0,1,2,2,0,1,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,NA,0,0,0
